   ID     X     Y      Map X       Map Y        Lat        Lon    B1    B2    B3    B4    B5    B6    B7    B8    B9   B10   B11   B12
    2  2633  2688  552620.00  5446280.00  49.167077  15.721838   179   300   204   444  1226  1465  1620   731   313    20    31    19
    3  2634  2688  552640.00  5446280.00  49.167075  15.722112   200   319   214   468  1222  1518  1641   753   323    21    31    18
    4  2635  2688  552660.00  5446280.00  49.167073  15.722386   199   321   233   489  1233  1509  1668   766   352    24    32    20
    5  2636  2688  552680.00  5446280.00  49.167072  15.722661   204   314   230   478  1233  1542  1665   766   354    24    33    21
    6  2632  2689  552600.00  5446260.00  49.166899  15.721561   185   312   208   462  1293  1486  1657   715   322    23    32    20
    7  2633  2689  552620.00  5446260.00  49.166897  15.721835   192   303   204   450  1216  1357  1567   714   319    21    31    20
    8  2634  2689  552640.00  5446260.00  49.166895  15.722109   195   307   223   452  1212  1511  1611   705   330    22    32    20
    9  2635  2689  552660.00  5446260.00  49.166894  15.722384   217   325   226   501  1293  1540  1733   740   347    24    34    22
   10  2636  2689  552680.00  5446260.00  49.166892  15.722658   192   336   228   505  1263  1542  1654   768   359    23    34    22
   11  2632  2690  552600.00  5446240.00  49.166719  15.721558   201   347   215   501  1461  1879  1895   885   382    21    33    21
   12  2633  2690  552620.00  5446240.00  49.166717  15.721832   186   298   205   482  1272  1564  1661   777   344    20    31    19
   13  2634  2690  552640.00  5446240.00  49.166715  15.722107   176   299   208   443  1179  1414  1568   680   305    22    30    18
   14  2635  2690  552660.00  5446240.00  49.166714  15.722381   189   321   215   493  1244  1514  1671   739   318    22    33    22
   15  2636  2690  552680.00  5446240.00  49.166712  15.722655   195   328   222   490  1258  1490  1636   749   359    23    33    20
   16  2635  2691  552660.00  5446220.00  49.166534  15.722378   204   319   211   488  1225  1486  1597   728   320    22    33    23
   17  2636  2691  552680.00  5446220.00  49.166532  15.722653   200   330   228   477  1256  1524  1642   769   335    23    34    21

    1  2613  2644  552220.00  5447160.00  49.175026  15.716465   257   375   271   548  1354  1665  1819   800   336    27    39    27
    2  2614  2644  552240.00  5447160.00  49.175025  15.716739   266   370   249   510  1320  1631  1777   763   338    26    37    25
    3  2615  2644  552260.00  5447160.00  49.175023  15.717014   226   350   248   516  1350  1671  1791   777   322    24    35    23
    4  2613  2645  552220.00  5447140.00  49.174846  15.716462   250   376   258   548  1376  1692  1828   793   333    26    38    26
    5  2614  2645  552240.00  5447140.00  49.174845  15.716737   257   368   251   516  1347  1678  1798   763   326    27    38    26
    6  2615  2645  552260.00  5447140.00  49.174843  15.717011   237   369   265   518  1409  1648  1837   777   331    27    38    26
    7  2616  2645  552280.00  5447140.00  49.174841  15.717286   231   361   254   511  1328  1638  1747   815   357    27    37    25
    8  2612  2646  552200.00  5447120.00  49.174668  15.716186   257   372   268   542  1392  1642  1749   799   352    29    37    26
    9  2613  2646  552220.00  5447120.00  49.174667  15.716460   242   371   281   538  1362  1631  1790   785   351    29    37    26
   10  2614  2646  552240.00  5447120.00  49.174665  15.716734   237   364   258   520  1350  1638  1787   786   339    28    38    26
   11  2615  2646  552260.00  5447120.00  49.174663  15.717009   253   368   254   540  1367  1620  1791   789   348    27    38    26
   12  2616  2646  552280.00  5447120.00  49.174661  15.717283   233   347   254   527  1360  1653  1780   787   352    28    37    25
   13  2612  2647  552200.00  5447100.00  49.174488  15.716183   256   368   269   511  1357  1618  1711   793   360    27    38    28
   14  2613  2647  552220.00  5447100.00  49.174487  15.716457   253   359   270   532  1347  1617  1773   798   359    27    37    27
   15  2614  2647  552240.00  5447100.00  49.174485  15.716732   251   367   253   525  1380  1653  1827   794   363    28    38    27
   16  2615  2647  552260.00  5447100.00  49.174483  15.717006   229   361   251   534  1402  1677  1836   790   354    27    37    26
   17  2616  2647  552280.00  5447100.00  49.174482  15.717280   238   352   249   528  1390  1710  1817   799   353    27    37    25
   18  2612  2648  552200.00  5447080.00  49.174309  15.716180   258   373   262   528  1338  1601  1768   760   361    27    38    26
   19  2613  2648  552220.00  5447080.00  49.174307  15.716455   234   360   265   526  1348  1586  1716   766   349    26    37    25
   20  2614  2648  552240.00  5447080.00  49.174305  15.716729   227   366   260   530  1390  1643  1833   788   345    27    38    26
   21  2615  2648  552260.00  5447080.00  49.174303  15.717003   256   367   264   551  1390  1634  1794   780   356    27    38    26
   22  2612  2649  552200.00  5447060.00  49.174129  15.716178   244   378   269   541  1415  1722  1864   798   360    27    38    25
   23  2613  2649  552220.00  5447060.00  49.174127  15.716452   236   362   252   526  1384  1647  1754   782   358    25    37    24
   24  2614  2649  552240.00  5447060.00  49.174125  15.716726   233   366   256   532  1343  1606  1814   777   344    25    37    24
   25  2615  2649  552260.00  5447060.00  49.174124  15.717001   220   350   248   497  1348  1675  1772   783   358    25    36    24
   26  2611  2650  552180.00  5447040.00  49.173950  15.715901   252   386   270   539  1414  1705  1839   806   370    29    40    27
   27  2612  2650  552200.00  5447040.00  49.173949  15.716175   256   388   288   542  1411  1747  1873   818   370    28    39    26
